dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
restaurant/D/short,t0-beta,136.594167367143,136.594167367143,6.986413677967684,0.6707553208217416,0.6304685037387924,0.38718336281171195,4.639370329009238,11.687350742026313,0.5378789604676409,0.3215309448179224,0.2521648255103921,Sales,1
bitbrains_fast_storage/H/short,t0-beta,3455725.348756308,3455725.348756308,344.5446580812105,0.968508967712865,4.2089491495963305,0.571725067796828,18.769346098014122,1858.958135288772,5.298634400696434,0.9820641698322593,0.7036461371888363,Web/CloudOps,2
electricity/H/short,t0-beta,1838584.8753153153,1838584.8753153153,175.48140906531532,0.9671219175463244,0.15451632626858114,0.1273308735065632,10.36643716815229,1355.9442744137073,0.6401025307636179,0.08283975688694313,0.06712008545842647,Energy,1
electricity/H/medium,t0-beta,4906239.108468468,4906239.108468468,228.875625,1.0275028077076687,0.24581623073726142,0.12520189714861346,8.454513840778061,2215.0031847535724,0.8645887368305912,0.08933769886749729,0.07090331337867106,Energy,1
electricity/H/long,t0-beta,6436073.533501501,6436073.533501501,250.4347987987988,1.1090914114512114,0.28373187998862237,0.1338410813156907,9.197734076513099,2536.9417678578084,1.000569082882411,0.09877141057421375,0.07828036664322394,Energy,1
m4_monthly/M/short,t0-beta,1960548.343962963,1960548.343962963,577.8451150173611,0.972104930724927,0.16403176244099935,0.13613737706784848,7.776374455947253,1400.1958234343376,0.29100876150812066,0.12009605260232059,0.09559910645834802,Econ/Fin,1
temperature_rain/D/short,t0-beta,185.5646345476322,185.5646345476322,5.7602038862508,1.3449714001282767,17.708649401206003,1.5365948853352793,19.096397671420423,13.622211074110995,1.6036943855384416,0.6781282848783033,0.5475699751114711,Nature,1
ett2/15T/short,t0-beta,6.955605933779762,6.955605933779762,1.6953771682012648,0.7374016506364268,0.10588209936788488,0.1252673103695824,4.961710822281644,2.637348276921302,0.12520430495560597,0.08048558540400044,0.06300378327180653,Energy,7
ett2/15T/medium,t0-beta,11.636054067460318,11.636054067460318,2.150683903769841,0.9127499764150226,0.14183665468368972,0.17708215138268849,6.862209641884883,3.4111660861735125,0.1817872153905955,0.11461383825208678,0.09153484924359813,Energy,7
ett2/15T/long,t0-beta,11.380885416666667,11.380885416666667,2.1644295634920634,0.9379866101427928,0.14821825119913742,0.18538308764260913,7.413074540192653,3.373556790194389,0.1797829479301052,0.11534636934013254,0.09451353065177491,Energy,7
bitbrains_rnd/5T/short,t0-beta,1697636.5446736207,1697636.5446736207,117.54137136717091,1.603074471800673,0.9470569918359625,0.6475877426679686,51.58176836917317,1302.933822062203,5.3312290425855595,0.480945357413617,0.38738880821819144,Web/CloudOps,2
bitbrains_rnd/5T/medium,t0-beta,2274628.1631284724,2274628.1631284724,142.73109157895632,4.34960629700498,0.33489661625604006,0.7021756835663294,158.74821869629872,1508.1870451401153,6.345710885801295,0.6005423826530346,0.615640817705441,Web/CloudOps,2
bitbrains_rnd/5T/long,t0-beta,3017703.556388792,3017703.556388792,196.83404468707084,3.277873735240452,1.882846368322962,0.6856476534926045,115.04228891160079,1737.1538666418678,6.65464537790046,0.7540269119755008,0.6814302304079268,Web/CloudOps,2
car_parts/M/short,t0-beta,1.5027777280436263,1.5027777280436263,0.4654279749153049,0.843829260914214,0.8460403246113615,1.904375692818354,15.283018274997248,1.2258783496104442,2.9395305312258087,1.116048540040618,0.990406179213585,Sales,1
ett1/D/short,t0-beta,46027.25714285715,46027.25714285715,145.5422123015873,1.7131636747309882,1.1103804330977183,0.48996218726748514,10.91534152949072,214.53964002686578,0.5634954808831267,0.382271448294623,0.28414246351371053,Energy,7
ett2/W/short,t0-beta,3141446.5714285714,3141446.5714285714,1183.043247767857,0.7782227133999129,0.1276721954345703,0.12816246918269567,9.525936502479718,1772.4126414096045,0.14867824787236328,0.0992391913293211,0.08907865419889066,Energy,7
jena_weather/10T/short,t0-beta,806.1917658730159,806.1917658730159,5.297564794146825,0.2606777797490682,0.3338032105786219,0.538126724485367,2.1495870496348304,28.393516264686486,0.17635932220501635,0.032904516922930935,0.0268913002895459,Nature,21
jena_weather/10T/medium,t0-beta,1467.6920634920634,1467.6920634920634,9.137726596320347,0.5849166451856791,0.7233025338288784,0.6409157140602453,5.135483414980489,38.31046937185791,0.23511069560507258,0.05607807190918948,0.04580662381671921,Nature,21
jena_weather/10T/long,t0-beta,1400.5292328042328,1400.5292328042328,9.376891121031745,0.6270801632151026,0.7810229327555778,0.6332048042741402,5.503473396392279,37.42364537033014,0.22900170310844067,0.057378804638874285,0.04677019497830035,Nature,21
